That's good. Does this one open? Ah.,,,
"I know, right? Sorry",,,
"I thought I was weak for a second, I was like, ""Am I that weak where I can't pry this ",,,
"Wait, does yours have this stick?",,,
This is draped over my leg.,,,
"Okay, so, brute force isn't working out at all.",,,
I don't know what else to do with it.,,,
Okay.,,,
Oh,,,
Okay.,,,
Which recording do you guys have?,,,
[crosstalk 00:02:21] get my paper.,,,
My paper fell.,,,
Cause the weight of the cords.,,,
Sorry.,,,
Is Skyler not here? Aight.,,,
Is the first one just a word? Or you can type a paragraph?,,,
"When you said enter the string, it counts the vowels. You got to enter like",,,
Oh.,,,
Yeah.,,,
 Index or contains.,,,
What she's asking for is the code with the numbers including letters? ASCII code?,,,
"She said ASCII code. Is it the...remember, we did a license plate and you looked up the ",,,
code. Is that was ASCII code is?,,,
"In like the method, right? The for loops and the different methods, right?",,,
All right.,,,
Okay.,,,
"Well before, right, though if it was in compiler.",,,
I know.,,,
There's no way it's more than one.,,,
Watch it be six [inaudible 00:19:15],,,
"Oh, you didn't screw it now.",,,
So the ones with periods are methods?,,,
"I only got one, I think.",,,
We'll get them next time. We should feel real next time.,,,
I'm guessing you resorted to guessing.,,,
"We were joking, ""Watch it be five or six.""",,,
"Can you send it? A picture, picture. Can you send it?",,,
Cause my phone's like...will you send screenshot pictures?,,,
"Remember, you were like, ""What is this [inaudible 00:22:09]?""",,,
This sounds really bad already.,,,
"It's cause I highlighted it, I think.",,,
What assignment is this called? What number is this?,,,
It would count it? Plus one?,,,
"I got it, I got it. I think I can handle three.",,,
What activity is this for?,,,
What activity is this? 16?,,,
I [inaudible 00:23:38] for 26.,,,
It would be funny if we sounded similar but they could tell our voices. [inaudible ,,,
Inside...,,,
"Shit. It's in the book, I forgot. It will tell you in the book how to do it.",,,
Why is this so clinky?,,,
I'm trying to do that for loop thing.,,,
What [crosstalk 00:52:27] string you use to find the [crosstalk 00:52:33]?,,,
The thing to find the vowels.,,,
Yeah.,,,
"Yeah, but I just copied the if thing. The other one was the letter [crosstalk 00:53:01]. It ",,,
Why is this wrong? You can't [crosstalk 00:58:01] this?,,,
How do I turn this off?,,,
13,,,
This one doesn't open.,,,
Gotcha.,,,
  This is ..this is asking  report. ,,,
It says prop user enter.,,,
Now you fucked up.,,,
The fudge word?.,,,
Okay.,,,
What? Did that say generating a random number? ,,,
"That's kind of funny honestly. I mean, but we'll add later to it.",,,
Yeah. I have class,,,
5:15?,,,
"Okay. Yeah, I can make it there.",,,
The max.,,,
The max. Getting the max number.,,,
Yeah.,,,
you said we cast it to ten ?,,,
[inaudible 01:26:05]do we cast math.random  and multiply it by 10 you get zero to nine.,,,
Oh my God.,,,
"Hey, can you look in [inaudible 01:26:41] math.random and see if it makes sense?",,,
Oh. Do you have to-,,,
[crosstalk 01:27:00] What if it doesn't work?,,,
"Two, three, four -",,,
"- six, seven, eight, nine, 10.",,,
What.,,,
"It just says zero for me, zero, zero, zero, zero, zero, zero, Zzz ...",,,
iDubbbz? The one who does content cops.,,,
"But, can you help me do my Math.random?",,,
"One second, one second, just let me print this out. How, how do you print this out? You ",,,
just print out the source?,,,
[crosstalk 01:28:35] [inaudible 01:28:37].,,,
"Source dot, dot like source uh-",,,
The [crosstalk 01:29:05] had to go onto ... You have to create a for-loop that it's going ,,,
"Yes, yes, that's what I have through this one.",,,
"Why does mine not work? Mine says zero, zero, zero, zero, zero.",,,
You should of just called it source.,,,
Yeah. Fuck. Then everything has to be source.,,,
"I still got ten, though. So it worked the other way.",,,
"Wait, is this a menu you used to do? Or is it just like-",,,
I was just doing it like this.,,,
You don't reference the-,,,
"But there's just zeros on mine. See look, zero, zero, zero, zero.",,,
That's for the max.,,,
Yeah.,,,
They're gonna print out anything. I was just testing the first one and then I was looking ,,,
like ... 'cause I already did almost three so I was like checking to see if it worked.,,,
Can you see the Math.random first?,,,
Where's error in here?,,,
"Seriously, are you Starbucks basic ... spent like five dollars for this much?",,,
Meh. Okay. [crosstalk 01:32:19]. You're excused.,,,
Oh my God.,,,
"Listen, it's on site. Honestly.",,,
I don't want like this much for five dollars. [crosstalk 01:32:29].,,,
What? Where?,,,
This must be ... you changed it to that I ... rest in size.,,,
"Oh, see ... No see, it doesn't compile like that. Like my old way did it.",,,
No.,,,
I was gonna undo it and then fix from Math.random.,,,
I don't know. Let's undo everything.,,,
I was gonna press control z everything.,,,
Still the same?,,,
Oh the period ... maybe it's this one.,,,
My array?,,,
Is my array wrong?,,,
"Just erase it, maybe?",,,
You don't want it to be sideways for this one?,,,
Four.,,,
It's easier to see the recoils.,,,
Oh.,,,
"Like, so here. Could do like-",,,
Cast it to N. And that'll work.,,,
"Oh, okay, so you can just keep this as double.",,,
Or just the Math.random's wrong.,,,
I'm saying it was like that before. That's what I was trying to say. I was doing that for  spaces because I was doing mine sideways.,,,
Oh.,,,
Did he leave?,,,
Me?,,,
"Oh, okay.",,,
"Oh, no. Oh this versions from the book so I-",,,
"Oh, well lets just try it and then-",,,
"ok Oh, I'll change it, I'll change it. yea it really does not matter what we call it",,,
"Okay. I'll just change it. It's no big deal. Yeah, doesn't really matter what this is called ",,,
anyways. [crosstalk 01:38:26]. Where's the problem? Where's the problem in this one?,,,
Where it has an X right there?,,,
Wait what? Why is it [inaudible 01:38:34]? [inaudible 01:38:35] touch his baby. ,,,
[crosstalk 01:38:44].,,,
"Samsung sucks, I'm just kidding.",,,
I'm trying to get back to where it was.,,,
Just chill.,,,
The book.,,,
My second ones wrong.,,,
"Oh, you changed it and now it's wrong.",,,
"You shut the ... I had to do the ... what'd you change, my source? Source.length.",,,
I'll kill you.,,,
"Oh yeah, it's illegal to curse right?",,,
What'd you fill my count at? What?,,,
"Oh yeah, that's.",,,
[inaudible 01:40:29] why are you bulling me today?,,,
Why are you bullying me?,,,
I don't even know.,,,
"The load max, probably stick to zero somewhere in here. [crosstalk 01:41:16].",,,
Source.,,,
I only looked at like the first A.,,,
Okay. So J's gonna be the value of the max value ... square roots found.,,,
Oh.,,,
"Nope. Is this wrong, somehow.",,,
I'm not sure. 'Cause it just like prints out multiple numbers. I'm just trying to figure out ,,,
why it's wrong.,,,
Oh I can't see the scroll bar.,,,
Yeah.,,,
"Yeah, look see there's two-",,,
Oh.,,,
"Oh, shooting your movies.",,,
"Wait, is this due tonight?",,,
Does your cousin like watch every movie?,,,
Huh. Maybe do L the loop? Oh no. [crosstalk 01:47:46].,,,
I'm just gonna leave then.,,,
Said I'm just gonna leave.,,,
I'm doing this-,,,
We can.,,,
Oh okay. We can.,,,
What?,,,
Did you like not get-,,,
Oh yeah print those [inaudible 01:48:15] combos.,,,
Yeah.,,,
"Yeah, we're all like where the stairs were.",,,
We like did real fast.,,,
Oh.,,,
I'm 25. [crosstalk 01:48:44].,,,
"Yeah, I feel you on that. Wait was Kyler doing? Isn't he working on his game?",,,
Skylers working on his game.,,,
Yeah. Yeah. With his friends so like at zero PCCC.,,,
Oh.,,,
Okay. I was going to try to figure this out real quick. So today is April 2nd. 13. 14.,,,
Yeah.,,,
"Yeah, I think it's right?",,,
"Alright. 'Cause, it returns the answers in here right? So it compiles the values into those, right? ",,,
Yeah.,,,
"That's what it does, right? Wait, is it part five?",,,
"Oh, part five. Never mind. ...",,,
"So part five is where you put in these two numbers, right? Put in this method. This is ",,,
"part five, right?",,,
Is it index?,,,
"When [crosstalk 01:58:10] the method returns in Array, of the Array's return.",,,
Isn't the inside called Index though?,,,
7.6.,,,
Which one?,,,
"Look at here. When it returns result, it just does the indexes of it, right?",,,
You don't have to go with mine if you don't want to.,,,
It seems like you really don't like that one answer.,,,
"Empty Array, different Array, part 3. ...",,,
Yeah.,,,
"This is footing values in the indexes, right?",,,
"So, we'd like, result of J? What are these arrow things?",,,
He made Array called List.,,,
In the parameter.,,,
Because it starts from zero.,,,
"Yeah, because you know how zero, one, two, three, four, five? When the length is eight, ",,,
it's actually at the seventh index because it starts from zero. You understand what I mean? ,,,
"Because then this is actually at seven [inaudible 02:02:05], like the ... [crosstalk ",,,
What do you mean?,,,
You go back there for a second? I just want to understand it. So it's saying if I equals ,,,`
zero J equals ... minus one. If I is less than the list of length [crosstalk 02:03:12],,,
"Yeah. You create an Array in this parameter, the list? A new Array could result.",,,
 Yeah,,,
This must meet up in the middle?,,,
What so you can pass Array's by invoking method. A method may also return Array. For ,,,
"example, the [inaudible 02:04:23] returns the Array that is the reversal of the other array",,,
One's actually the other.,,,
"You fill alpha one ... alpha index, you flip the one you think, and then we'll see who's right",,,
"Actually, you might be right. How many is it? One, two, three, four ... yeah, it might be  value",,,
I think you're right. ...,,,
"Oh wait, I thought [crosstalk 02:06:19] but there's only like, five [crosstalk 02:06:22]",,,
[crosstalk 02:06:23] letters.,,,
"Wait, what'd you put for five? [crosstalk 02:06:45]",,,
After the lines ...,,,
What'd he get?,,,
After the line is compiled?,,,
[crosstalk 02:08:03] Part three.,,,
After the line compile. ... Yeah that's makes sense right?,,,
"After these all compile they like, go in for like zero, one, two, three ...",,,
Was index right?,,,
Oh no.,,,
(Silence),,,
Oh I forgot to change fucking four and five. That's okay.,,,
I missed four and five.,,,
I changed three but I forgot to change five.,,,
This is 10 points.,,,
"For an argument of [inaudible 02:09:28], the value of the argument is a ...",,,
"[inaudible 02:09:39] Array. Referent values, passive and method, [inaudible 02:09:43].",,,
"[inaudible 02:09:47] ... Describe as pass by sharing, the area of the method is the blank as the ",,,
Yeah.,,,
(Silence),,,
"Before the method call, what is the value of A? ...",,,
Yeah. ... Where's the method call at?,,,
Where's method call? Do you see it?,,,
Why is it not named like a call?,,,
Where's the method call?,,,
"Okay, when we work on this one right? [crosstalk 02:11:30] When we work on this one?",,,
"Okay, I got you. Give me a sec. ... [crosstalk 02:11:54] ...",,,
"Oh, I think this is easier than they make it out to be. ... fives ...",,,
(Silence),,,
Oh this is call.,,,
"Alright. B, zero, before [02:12:21]",,,
It's gonna be six.,,,
Yep.,,,
"So, before call is over here in this one. Then this is the call one.",,,
"This is inside method call, so this is called Call.",,,
They label it for you don't they? See.,,,
Yeah.,,,
"The side of method M ... This is method M, the side of method M, right? Because this is what it's called. É",,,
Think about what would be displayed when we get the [inaudible 02:13:24].,,,
[Nom 02:13:24] equal one?,,,
What is it?,,,
Nom of one is three ... [crosstalk 02:13:42],,,
And then A ...,,,
It has to be [crosstalk 02:14:16],,,
We think it's 10. I don't know. I don't see where it calls eight again.,,,
"I think it's 10, I'm a put that. Fuck it. Because, it's getting too late [crosstalk 02:14:23]",,,
[crosstalk 02:14:28] because it doesn't say it. It doesn't have the option for 10.,,,
"Because look. Do you want me to show you? Which one, five to two? B is zero, is five ",,,
and then this [inaudible 02:14:56] zero is two.,,,
So five to two.,,,
After method call is two?,,,
"Cause you put A, B into M.",,,
"Right? Cause this is after method right here, right?",,,
Yeah.,,,
Which ones? Number two?,,,
"Ten, five, six.",,,
"One, two, three, two. ...",,,
Listen I'm just going to go with how [inaudible 02:16:13]. Ten and two. ...,,,
[crosstalk 02:16:27],,,
"I think it's true, isn't it? ...",,,
Alright.,,,
Scroll. ... That's not the one. ... What?,,,
Nothing's ... [crosstalk 02:17:19],,,
