,aspects,frequency,emotions,Performance,Performance_C
0,not paying attention,1,,87.39,B
1,still okay How,1,,87.39,B
2,not doing neighbors,1,,87.39,B
3,just random stuff,1,Angry,87.39,B
4,then itll start,1,,87.39,B
5,then itll check,1,,87.39,B
6,then itll switch,1,,87.39,B
7,not using selection,1,,87.39,B
8,just put length,1,Sad,87.39,B
9,just keep counting,1,Fear,93.1,A
10,just finished C,1,,93.1,A
11,always been hes,1,Sad,93.1,A
12,always having something,1,Sad,93.1,A
13,not invert length,1,Sad,93.1,A
14,then itll run,1,,93.1,A
15,just like sit,1,,93.1,A
16,still drafting David,1,,93.1,A
17,almost done Im,1,,66.57,D
18,just throwing ideas,1,,66.57,D
19,just do radius,1,,66.57,D
20,just put vowels,1,Sad,66.57,D
21,not printing anything,2,,66.57,D
22,not do Were,1,Sad,66.57,D
23,not doing anything,1,,66.57,D
24,here yeah something,1,,66.57,D
25,not using anything,1,,66.57,D
26,already made mistakes,1,Sad,66.57,D
27,now Okay Nevermind,1,,66.57,D
28,still didnt see,1,,66.57,D
29,not called temp,1,,66.57,D
30,then target B,1,Fear,66.57,D
31,just dont want,3,,66.57,D
32,just joking Were,1,Happy,66.57,D
33,not cheating Nevermind,1,Surprise,66.57,D
34,probably wrong No,1,Fear,66.57,D
35,Just joking Im,1,Happy,66.57,D
36,probably gon na,1,Fear,66.57,D
37,probably use column,1,Fear,66.57,D
38,just remember something,1,,66.57,D
39,just say side,1,Surprise,87.48,B
40,just do print,1,,87.48,B
41,then length width,1,,87.48,B
42,now weve got,1,,87.48,B
43,just say call,1,Surprise,87.48,B
44,then begin method,1,,87.48,B
45,just say number,1,Surprise,87.48,B
46,actually do anything,1,Surprise,87.48,B
47,then dont forget,1,Angry,87.48,B
48,only want vowels,1,,87.48,B
49,then put x,1,Sad,87.48,B
50,really dont need,1,Surprise,87.48,B
51,just didnt Lets,1,Sad,87.48,B
52,definitely shouldnt print,1,Fear,87.48,B
53,na be N,1,,87.48,B
54,not working Oh,1,Fear,87.48,B
55,only printed things,1,Surprise,87.48,B
56,already used N,1,,87.48,B
57,still using M,1,,87.48,B
58,actually calling parts,1,Surprise,87.48,B
59,Probably wont change,1,Fear,87.48,B
60,then int B,1,,87.48,B
61,now be X,1,,87.48,B
62,so lost Are,1,Sad,87.48,B
63,not multiply Oh,1,,87.48,B
64,just doesnt look,1,,87.48,B
65,not doing something,2,,87.48,B
66,just dont need,1,,87.48,B
67,only printing whats,1,,87.48,B
68,so satisfying Okay,1,,87.48,B
69,just say M,1,Surprise,87.48,B
70,just call M,1,,87.48,B
71,just been chance,1,Fear,87.48,B
72,never pressed enter,1,Fear,87.48,B
