,aspects,frequency,emotions,Performance_C,Performance
0,too easy Wait,1,Surprise,B,87.39
1,pretty sure Im,1,Happy,B,87.39
2,really matter Okay,1,Surprise,B,87.39
3,so confused Go,1,Fear,B,87.39
4,Youre good Are,1,Happy,B,87.39
5,very delicate hands,1,Sad,B,87.39
6,now Bubble sort,1,,B,87.39
7,really weird way,1,Surprise,B,87.39
8,So x O,1,,B,87.39
9,most recent activity,1,,B,87.39
10,not linear search,1,Fear,A,93.1
11,then next integer,1,,A,93.1
12,there didnt work,1,Fear,A,93.1
13,so many times,2,,A,93.1
14,then double result,1,,D,66.57
15,so prompts users,1,,D,66.57
16,too much information,1,,D,66.57
17,too method counts,1,Fear,D,66.57
18,So thats right,1,Fear,D,66.57
19,too difficult No,1,,D,66.57
20,counter right Counter,1,Sad,D,66.57
21,So int length,1,,D,66.57
22,So bowlian vowel,1,,D,66.57
23,So lets trace,1,Sad,D,66.57
24,Too many temps,1,,D,66.57
25,So youre gon,3,,D,66.57
26,all right Five,1,Fear,D,66.57
27,then new variable,1,,D,66.57
28,So thats fine,1,Happy,D,66.57
29,not waste time,1,,D,66.57
30,here right Right,1,Fear,D,66.57
31,dot next double,1,,B,87.48
32,side right Return,1,Fear,B,87.48
33,here right Theres,1,Fear,B,87.48
34,then open brackets,1,Surprise,B,87.48
35,just length times,1,,B,87.48
36,too many brackets,1,Surprise,B,87.48
37,only other thing,1,Surprise,B,87.48
38,so extra paper,1,,B,87.48
39,really matter huh,1,Surprise,B,87.48
40,then open braces,1,Surprise,B,87.48
41,so return wait,1,Surprise,B,87.48
42,more complicated Okay,1,Fear,B,87.48
43,too many zeroes,1,,B,87.48
44,too many times,1,,B,87.48
45,only high values,1,Fear,B,87.48
46,array right No,1,Fear,B,87.48
47,definitely wrong page,1,Fear,B,87.48
48,dot next line,2,Fear,B,87.48
49,just normal sort,1,,B,87.48
50,Pretty much everything,2,Happy,B,87.48
51,so do something,1,,B,87.48
52,So weve got,1,,B,87.48
53,so mine looks,1,,B,87.48
54,then last thing,1,Surprise,B,87.48
55,there more questions,1,Fear,B,87.48
56,ugly bro Look,1,Sad,F,57.18
57,so simple right,1,Fear,F,57.18
58,then height Base,1,Sad,F,57.18
59,then double area,1,,F,57.18
60,yeah double area,1,,F,57.18
61,hella hard bruh,1,Angry,F,57.18
62,here bruh Shes,1,,F,57.18
63,so fucking fast,1,Happy,F,57.18
64,now next semester,1,,F,57.18
65,then double width,1,,C,76.11
66,not double click,1,,C,76.11
67,basically raw game,1,Fear,C,76.11
68,not new colors,3,Sad,C,76.11
69,All right Im,1,Fear,D,66.79
70,very first trail,1,Surprise,D,66.79
71,just super inefficient,1,,A,95.73
72,still inefficient Square,1,Fear,A,95.73
73,basically youre gon,1,Fear,A,95.73
74,again Actual code,1,,A,95.73
75,really complex program,1,Surprise,A,95.73
76,more advanced stuff,1,Angry,A,95.73
77,just random method,1,,A,95.73
78,literally current mindset,1,,A,95.73
79,really dont think,1,Surprise,A,95.73
80,so few lines,1,Fear,A,95.73
81,So dont need,1,,A,95.73
82,really smart Cause,1,Surprise,A,95.73
83,so shes checking,1,,A,95.73
84,so many problems,1,Fear,A,95.73
85,All right Yep,1,Fear,A,95.73
86,basically like youre,1,Fear,A,95.73
87,so much Frick,1,,A,95.73
88,here Good work,1,Happy,A,95.73
89,So inputnextchar All,1,,A,95.73
90,array new int,1,,A,95.73
91,too right i,,Fear,B,89.05
92,so many times,,,B,89.05
93,so i dont,,,B,89.05
94,pretty impressed Id,1,Happy,A,92.94
95,so theres size,1,,A,92.94
96,not right Oh,1,Angry,A,92.94
97,just different things,1,Surprise,A,92.94
98,then array array,1,,A,92.94
99,basically linear algebra,1,Fear,A,92.94
100,so brute force,1,Fear,F,59.48
101,not sure Cause,1,Fear,F,59.48
102,already late Im,2,Sad,F,59.48
103,so much sense,1,,C,77.24
104,actually nice curiousJust,1,Happy,C,77.24
105,very excessive Did,1,,C,77.24
106,just weird Okay,1,,C,77.24
107,then unique result,1,,C,77.24
108,here Bubble sort,1,,C,77.24
109,very fair deal,1,,C,77.24
110,really fair deal,1,Surprise,C,77.24
111,too much Im,1,,C,77.24
112,literally ten minutes,1,,C,77.24
113,So many people,1,,C,77.24
114,so like space,1,,C,77.95
115,then width equals,1,,C,78.57
116,much more sense,1,,C,78.57
117,just rectangle length,1,,C,78.57
118,So many integers,1,,C,78.57
119,So lets start,1,Sad,C,78.57
120,So much neater,1,,C,78.57
121,underscore search Um,1,,C,78.57
122,here Same way,1,,C,72.14
123,relatively easy Problem,1,Fear,C,72.14
124,so copy Click,1,,C,72.14
125,really quick So,1,Angry,C,72.14
126,really know Try,1,Surprise,C,72.14
127,pretty much silent,1,Happy,C,72.14
128,not preferred yes,1,Happy,C,72.14
129,directly proper way,1,Happy,C,72.14
130,very difficult Anyways,1,,B,85.55
131,not frisbee golf,1,,D,69.9
132,really uncomfortable word,1,Surprise,D,69.9
133,too many methods,1,,D,69.9
134,so much fun,1,Happy,D,69.9
135,so much tonight,1,,D,69.9
136,circle right Nope,1,Fear,D,69.9
137,Still doesnt work,1,Fear,D,69.9
138,even right code,1,Fear,D,69.9
139,Not bubble sort,1,,D,69.9
140,still alive right,1,Fear,D,69.9
141,all inclusive Emily,1,,D,69.9
142,always important Day,1,Happy,D,69.9
143,there thirty minutes,1,,D,69.9
144,very popular Ill,1,,D,69.9
145,very slow worker,1,,D,69.9
146,so painful yeah,1,Sad,D,69.9
147,not next Friday,1,,D,69.9
148,too sensitive right,1,Fear,D,69.9
149,almost died Thing,1,Surprise,D,69.9
150,ever other user,1,Surprise,D,69.9
151,so youre multiplying,1,,D,69.9
152,not ultimate frisbee,1,,B,89.34
153,not easy So,1,,B,89.34
154,not easy mode,1,Fear,B,89.34
155,Too much work,1,Fear,B,89.34
156,really strong accent,1,Happy,B,89.34
157,So many loopy,1,,B,89.34
158,so many variables,1,,B,89.34
159,So many loops,1,,B,89.34
160,so much work,1,Fear,B,89.34
161,not enough variables,1,,B,89.34
162,reference right Oh,1,Fear,B,89.34
163,so good Blueberries,1,Happy,B,89.34
164,then green appel,1,,B,89.34
165,then red cherry,1,Angry,B,89.34
166,actually insane Wait,1,Surprise,B,89.34
167,So print mystery,1,,B,89.34
168,just fine Sweet,1,Happy,B,89.34
169,so tired Im,1,,B,89.34
170,pretty big book,1,Happy,B,89.34
171,not new array,1,,B,89.34
172,not array x,1,,B,89.34
173,too much Just,1,,B,89.34
174,so much pain,1,,B,89.34
175,little worried Where,1,Sad,B,89.34
176,so bad Aw,1,Sad,B,89.34
177,so yeah Public,1,,B,89.34
178,usually Korean arent,1,,B,89.34
179,pretty good Pretty,1,Happy,B,89.34
180,so confused right,1,Fear,B,89.34
181,so confused Whats,1,Fear,B,89.34
182,very strange error,1,Sad,B,89.34
183,really drunk Friday,1,Surprise,B,89.34
184,so easy Look,1,,B,89.34
185,literally impossible Lets,1,Sad,B,89.34
186,really good doesnt,1,Happy,B,89.34
187,really good Never,1,Happy,B,89.34
188,really social people,1,Surprise,A,97.62
189,Pretty much yeah,1,Happy,A,97.62
190,So print F,1,,A,97.62
191,here num check,1,,A,97.62
192,very long Theres,1,Fear,A,97.62
193,pretty good grade,1,Happy,A,97.62
194,So array index,1,,A,97.62
195,more consistent results,1,,A,97.62
196,very good Lets,1,Happy,A,97.62
197,really easy So,1,Surprise,A,97.62
198,So zero column,1,,A,97.62
199,really cant move,1,Surprise,B,83.63
200,very tedious Okay,1,,C,72.28
201,Then next year,1,,C,72.28
202,Yes high equals,1,Sad,C,72.28
203,So yeah Yeah,1,,C,76.89
